Log Start Time,2026-01-18T18:33:50
Delta uS,V Ch1,V Ch2, I, X, Y, Z, Temp, RTC Stamp
42072.0,7.446,0.0,0.0000,0.24,13.42,11.22,69,2026-01-18T18:34:58
72248.0,7.704,0.0,0.0000,3.92,6.51,6.83,69,2026-01-18T18:34:58
40192.0,7.761,0.0,0.0000,1.96,-1.10,11.22,69,2026-01-18T18:34:58
33088.0,7.818,0.0,0.0000,3.06,-6.20,13.02,69,2026-01-18T18:34:58
50648.0,7.847,0.0,0.0000,5.49,4.08,17.50,69,2026-01-18T18:34:58
1464.0,7.818,0.0,0.0000,0.00,7.53,11.85,69,2026-01-18T18:34:58
33488.0,7.847,0.0,0.0000,-0.63,-13.57,9.26,69,2026-01-18T18:34:58
37520.0,7.818,0.0,0.0000,-3.69,-15.06,15.53,69,2026-01-18T18:34:58
1464.0,7.847,0.0,0.0000,-6.83,-14.83,5.96,69,2026-01-18T18:34:58
131168.0,7.818,0.0,0.0000,6.90,-4.08,9.65,69,2026-01-18T18:34:58
