Timestamp(ms),Current(uA),D0-D7
5963,903.270,10000000
5964,904.580,10000000
5965,904.664,10000000
5966,904.858,10000000
5967,903.993,10000000
5968,903.896,10000000
5969,903.912,10000000
5970,903.019,10000000
5971,903.120,10000000
5972,902.634,10000000
5973,903.469,10000000
5974,904.390,10000000
5975,903.893,10000000
5976,904.241,10000000
5977,900.683,10000000
5978,901.014,10000000
5979,902.151,10000000
5980,902.341,10000000
5981,901.601,10000000
5982,902.867,10000000
5983,903.221,10000000
5984,901.673,10000000
5985,902.309,10000000
5986,901.003,10000000
5987,901.291,10000000
5988,901.750,10000000
5989,902.155,10000000
5990,901.423,10000000
5991,901.166,10000000
5992,900.996,10000000
5993,899.981,10000000
5994,899.692,10000000
5995,899.941,10000000
5996,900.056,10000000
5997,901.802,10000000
5998,900.489,10000000
5999,901.402,10000000
6000,900.945,10000000
6001,901.691,10000000
6002,902.422,10000000
6003,902.325,10000000
6004,901.919,10000000
6005,902.888,10000000
6006,902.109,10000000
6007,901.992,10000000
6008,902.328,10000000
6009,901.690,10000000
6010,902.592,10000000
6011,902.496,10000000
6012,901.848,10000000
6013,902.942,10000000
6014,904.096,10000000
6015,904.670,10000000
6016,903.479,10000000
6017,903.216,10000000
6018,902.916,10000000
6019,902.975,10000000
6020,902.518,10000000
6021,902.282,10000000
6022,902.288,10000000
6023,901.850,10000000
6024,901.323,10000000
6025,901.771,10000000
6026,901.848,10000000
6027,901.036,10000000
6028,900.180,10000000
6029,899.729,10000000
6030,900.887,10000000
6031,900.392,10000000
6032,900.412,10000000
6033,902.388,10000000
6034,902.530,10000000
6035,901.790,10000000
6036,901.610,10000000
6037,900.354,10000000
6038,901.621,10000000
6039,902.273,10000000
6040,901.572,10000000
6041,901.682,10000000
6042,901.230,10000000
6043,900.851,10000000
6044,900.445,10000000
6045,900.581,10000000
6046,900.710,10000000
6047,901.197,10000000
6048,900.155,10000000
6049,900.072,10000000
6050,900.523,10000000
6051,901.518,10000000
6052,900.986,10000000
6053,900.946,10000000
6054,899.957,10000000
6055,901.118,10000000
6056,899.696,10000000
6057,899.873,10000000
6058,900.404,10000000
6059,900.253,10000000
6060,899.801,10000000
6061,899.624,10000000
6062,898.952,10000000
6063,898.227,10000000
6064,897.440,10000000
6065,899.400,10000000
6066,899.989,10000000
6067,899.726,10000000
6068,899.601,10000000
6069,898.066,10000000
6070,899.049,10000000
6071,900.334,10000000
6072,900.744,10000000
6073,900.763,10000000
6074,899.597,10000000
6075,899.853,10000000
6076,900.341,10000000
6077,900.490,10000000
6078,899.383,10000000
6079,900.569,10000000
6080,901.195,10000000
6081,901.289,10000000
6082,901.526,10000000
6083,901.564,10000000
6084,901.846,10000000
6085,901.616,10000000
6086,901.385,10000000
6087,901.891,10000000
6088,902.423,10000000
6089,901.299,10000000
6090,900.261,10000000
6091,901.065,10000000
6092,901.038,10000000
6093,900.752,10000000
6094,900.677,10000000
6095,899.337,10000000
6096,899.312,10000000
6097,899.471,10000000
6098,900.053,10000000
6099,900.745,10000000
6100,900.423,10000000
6101,901.527,10000000
6102,901.646,10000000
6103,900.375,10000000
6104,900.547,10000000
6105,900.580,10000000
6106,900.858,10000000
6107,901.392,10000000
6108,900.457,10000000
6109,899.529,10000000
6110,899.931,10000000
6111,901.718,10000000
6112,902.088,10000000
6113,902.105,10000000
6114,901.270,10000000
6115,901.640,10000000
6116,901.771,10000000
6117,901.969,10000000
6118,901.524,10000000
6119,902.032,10000000
6120,901.458,10000000
6121,901.656,10000000
6122,901.622,10000000
6123,900.980,10000000
6124,900.005,10000000
6125,900.778,10000000
6126,898.876,10000000
6127,899.698,10000000
6128,900.592,10000000
6129,900.771,10000000
6130,901.056,10000000
6131,901.196,10000000
6132,900.330,10000000
6133,900.830,10000000
6134,900.658,10000000
6135,900.176,10000000
6136,899.577,10000000
6137,900.425,10000000
6138,900.745,10000000
6139,900.098,10000000
6140,898.257,10000000
6141,899.162,10000000
6142,899.946,10000000
6143,900.945,10000000
6144,900.930,10000000
6145,899.808,10000000
6146,899.002,10000000
6147,900.169,10000000
6148,898.859,10000000
6149,898.718,10000000
6150,899.580,10000000
6151,898.767,10000000
6152,899.431,10000000
6153,901.522,10000000
6154,900.023,10000000
6155,899.850,10000000
6156,899.306,10000000
6157,899.182,10000000
6158,900.306,10000000
6159,900.111,10000000
6160,897.876,10000000
6161,898.458,10000000
6162,899.139,10000000
6163,899.683,10000000
6164,900.360,10000000
6165,899.389,10000000
6166,898.542,10000000
6167,898.939,10000000
6168,900.066,10000000
6169,898.070,10000000
6170,898.763,10000000
6171,898.792,10000000
6172,899.238,10000000
6173,898.644,10000000
6174,899.464,10000000
6175,899.027,10000000
6176,898.812,10000000
6177,898.451,10000000
6178,899.152,10000000
6179,899.608,10000000
6180,897.788,10000000
6181,899.057,10000000
6182,898.520,10000000
6183,899.442,10000000
6184,898.625,10000000
6185,899.469,10000000
6186,898.911,10000000
6187,899.189,10000000
6188,899.638,10000000
6189,901.015,10000000
6190,900.015,10000000
6191,899.517,10000000
6192,898.320,10000000
6193,898.810,10000000
6194,900.017,10000000
6195,899.125,10000000
6196,898.809,10000000
6197,898.812,10000000
6198,897.894,10000000
6199,900.516,10000000
6200,900.315,10000000
6201,899.679,10000000
6202,897.602,10000000
6203,898.211,10000000
6204,899.246,10000000
6205,899.566,10000000
6206,899.970,10000000
6207,898.459,10000000
6208,897.493,10000000
6209,897.664,10000000
6210,897.737,10000000
6211,897.522,10000000
6212,896.913,10000000
6213,896.792,10000000
6214,897.649,10000000
6215,897.510,10000000
6216,897.883,10000000
6217,898.987,10000000
6218,898.664,10000000
6219,899.036,10000000
6220,898.982,10000000
6221,898.552,10000000
