a5_V_10000000ohm,absdiff_V_10000000ohm,a5_V_1000000ohm,absdiff_V_1000000ohm,a5_V_330000ohm,absdiff_V_330000ohm,a5_V_10000ohm,absdiff_V_10000ohm,a5_V_1ohm,absdiff_V_1ohm
0.0076,0.0649,0.0000,0.0552,0.0000,0.0350,0.0000,0.0320,0.0016,0.0324
0.0097,0.0481,0.0000,0.0552,0.0000,0.0352,0.0000,0.0320,0.0022,0.0524
0.0171,0.0504,0.0000,0.0564,0.0000,0.0355,0.0000,0.0322,0.0032,0.0485
0.0285,0.0725,0.0000,0.0564,0.0000,0.0355,0.0000,0.0322,0.0032,0.0498
0.0956,0.0542,0.0000,0.0570,0.0000,0.0355,0.0000,0.0322,0.0035,0.0489
0.1031,0.0733,0.0000,0.0572,0.0000,0.0355,0.0000,0.0324,0.0041,0.0500
0.1260,0.0723,0.0000,0.0572,0.0000,0.0359,0.0000,0.0326,0.0052,0.0496
0.1326,0.0723,0.0000,0.0572,0.0000,0.0359,0.0000,0.0326,0.0054,0.0379
0.1422,0.0576,0.0000,0.0572,0.0000,0.0359,0.0000,0.0326,0.0056,0.0445
0.1446,0.0530,0.0000,0.0572,0.0000,0.0359,0.0000,0.0326,0.0056,0.0552
0.1508,0.0751,0.0000,0.0580,0.0000,0.0361,0.0000,0.0328,0.0058,0.0524
0.1532,0.0530,0.0001,0.0616,0.0000,0.0361,0.0000,0.0330,0.0064,0.0498
0.1644,0.0771,0.0002,0.0564,0.0000,0.0363,0.0000,0.0332,0.0066,0.0510
0.1720,0.0757,0.0002,0.0590,0.0000,0.0363,0.0000,0.0332,0.0083,0.0330
0.1790,0.0763,0.0003,0.0409,0.0000,0.0363,0.0000,0.0334,0.0087,0.0498
0.1894,0.0604,0.0004,0.0439,0.0000,0.0365,0.0000,0.0334,0.0097,0.0401
0.1914,0.0786,0.0004,0.0451,0.0000,0.0365,0.0000,0.0336,0.0111,0.0560
0.1969,0.0792,0.0004,0.0572,0.0000,0.0365,0.0000,0.0336,0.0341,0.0330
0.1973,0.0643,0.0007,0.0556,0.0000,0.0365,0.0000,0.0336,0.0773,0.0542
0.1996,0.0632,0.0008,0.0548,0.0000,0.0365,0.0000,0.0338,0.1146,0.0562
0.2068,0.0624,0.0008,0.0618,0.0000,0.0365,0.0000,0.0340,0.1201,0.0552
0.2187,0.0842,0.0013,0.0395,0.0000,0.0365,0.0000,0.0346,0.1219,0.0391
0.2188,0.0657,0.0013,0.0439,0.0000,0.0367,0.0000,0.0348,0.1329,0.0365
0.2245,0.0725,0.0017,0.0570,0.0000,0.0367,0.0000,0.0373,0.1334,0.0620
0.2280,0.0836,0.0022,0.0624,0.0000,0.0367,0.0000,0.0405,0.1411,0.0369
0.2407,0.0689,0.0031,0.0578,0.0000,0.0369,0.0000,0.0469,0.1416,0.0419
0.2472,0.0634,0.0034,0.0550,0.0000,0.0369,0.0000,0.0475,0.1481,0.0560
0.2579,0.0866,0.0038,0.0634,0.0000,0.0369,0.0000,0.0477,0.1486,0.0342
0.2672,0.0709,0.0047,0.0562,0.0000,0.0371,0.0000,0.0479,0.1584,0.0632
0.2699,0.0906,0.0048,0.0556,0.0000,0.0371,0.0000,0.0479,0.1632,0.0568
0.2719,0.0902,0.0048,0.0568,0.0000,0.0373,0.0000,0.0481,0.1671,0.0584
0.2785,0.0916,0.0048,0.0572,0.0000,0.0373,0.0000,0.0481,0.1798,0.0566
0.2899,0.0745,0.0054,0.0399,0.0000,0.0389,0.0000,0.0483,0.1836,0.0572
0.2940,0.0838,0.0056,0.0584,0.0000,0.0393,0.0000,0.0483,0.1855,0.0588
0.2973,0.0910,0.0059,0.0558,0.0000,0.0397,0.0000,0.0483,0.1862,0.0399
0.3002,0.0769,0.0062,0.0562,0.0000,0.0417,0.0000,0.0483,0.1907,0.0554
0.3038,0.0949,0.0068,0.0568,0.0000,0.0423,0.0000,0.0485,0.1911,0.0602
0.3074,0.0812,0.0082,0.0612,0.0000,0.0475,0.0000,0.0487,0.1915,0.0427
0.3138,0.0995,0.0101,0.0548,0.0000,0.0504,0.0000,0.0487,0.1962,0.0451
0.3153,0.0852,0.0109,0.0562,0.0000,0.0508,0.0000,0.0489,0.2066,0.0592
0.3261,0.0993,0.0110,0.0564,0.0000,0.0508,0.0000,0.0489,0.2066,0.0620
